State,March 2020,April 2020 (p),Over-the-month change on Level (p),Over-the-month change on Percent
AL, 2076600 , 1866200 , -210400 , -10.1
AK, 325700 , 281900 , -43800 , -13.4
AZ, 2964500 , 2676900 , -287600 ,-9.7
AR, 1272000 , 1169900 , -102100 , -8
CA, 17394000 , 15049300 , -2344700 , -13.5
CO, 2796900 , 2473400 , -323500 , -11.6
CT, 1677400 , 1411100 , -266300 , -15.9
DE, 465300 , 390600 , -74700 , -16.1
DC, 801200 , 734300 , -66900 , -8.3
FL, 8976300 , 7910200 , -1066100 , -11.9
GA, 4618600 , 4126500 , -492100 , -10.7
HI, 654300 , 532500 , -121800 , -18.6
ID, 767200 , 687700 , -79500 , -10.4
IL, 6060900 , 5298700 , -762200 , -12.6
IN, 3147200 , 2744800 , -402400 , -12.8
IA, 1572400 , 1395300 , -177100 , -11.3
KS, 1422900 , 1292500 , -130400 , -9.2
KY, 1926900 , 1637300 , -289600 , -15
LA, 1960700 , 1721100 , -239600 , -12.2
ME, 630100 , 531700 , -98400 , -15.6
MD, 2766300 , 2417000 , -349300 , -12.6
MA, 3668800 , 3045800 , -623000 , -17
MI, 4422800 , 3413800 , -1009000 , -22.8
MN, 2949800 , 2590000 , -359800 , -12.2
MS, 1154700 , 1037700 , -117000 , -10.1
MO, 2878100 , 2573300 , -304800 , -10.6
MT, 488600 , 426400 , -62200 , -12.7
NE, 1030000 , 943700 , -86300 , -8.4
NV, 1404600 , 1159800 , -244800 , -17.4
NH, 680300 , 572500 , -107800 , -15.8
NJ, 4166800 , 3409100 , -757700 , -18.2
NM, 862100 , 764500 , -97600 , -11.3
NY, 9723100 , 7895800 , -1827300 , -18.8
NC, 4567700 , 3996000 , -571700 , -12.5
ND, 439300 , 396800 , -42500 , -9.7
OH, 5539100 , 4715400 , -823700 , -14.9
OK, 1686900 , 1556100 , -130800 , -7.8
OR, 1942500 , 1689100 , -253400 , -13
PA, 6038300 , 5014200 , -1024100 , -17
RI, 498500 , 409700 , -88800 , -17.8
SC, 2197700 , 1925000 , -272700 , -12.4
SD, 441000 , 405000 , -36000 , -8.2
TN, 3147800 , 2770900 , -376900 , -12
TX, 12926900 , 11628000 , -1298900 , -10
UT, 1582700 , 1446100 , -136600 , -8.6
VT, 309400 , 248700 , -60700 , -19.6
VA, 4067400 , 3684000 , -383400 , -9.4
WA, 3495400 , 2968400 , -527000 , -15.1
WV, 709500 , 619400 , -90100 , -12.7
WI, 2967800 , 2528400 , -439400 , -14.8
WY, 286600 , 263800 , -22800 , -8